customer_id,city,segment
CUST1,Bangalore,Student
CUST2,Kanpur,Small Business
CUST3,Kochi,Corporate
CUST4,Madurai,Student
CUST5,Chandigarh,Corporate
CUST6,Kanpur,Corporate
CUST7,Lucknow,Corporate
CUST8,Surat,Consumer
CUST9,Kochi,Student
CUST10,Kanpur,Student
CUST11,Patna,Small Business
CUST12,Jaipur,Consumer
CUST13,Trivandrum,Consumer
CUST14,Nashik,Corporate
CUST15,Rajkot,Corporate
CUST16,Nagpur,Student
CUST17,Patna,Student
CUST18,Jaipur,Student
CUST19,Bhopal,Small Business
CUST20,Bhopal,Small Business
CUST21,Mumbai,Student
CUST22,Surat,Consumer
CUST23,Gurgaon,Student
CUST24,Madurai,Consumer
CUST25,Visakhapatnam,Student
CUST26,Surat,Corporate
CUST27,Surat,Small Business
CUST28,Coimbatore,Corporate
CUST29,Delhi,Small Business
CUST30,Nashik,Corporate
CUST31,Visakhapatnam,Corporate
CUST32,Pune,Corporate
CUST33,Ahmedabad,Student
CUST34,Chandigarh,Small Business
CUST35,Jaipur,Student
CUST36,Kolkata,Consumer
CUST37,Jodhpur,Corporate
CUST38,Ahmedabad,Corporate
CUST39,Indore,Student
CUST40,Noida,Student
CUST41,Chandigarh,Corporate
CUST42,Coimbatore,Student
CUST43,Surat,Small Business
CUST44,Bangalore,Corporate
CUST45,Visakhapatnam,Student
CUST46,Bangalore,Consumer
CUST47,Chandigarh,Small Business
CUST48,Chandigarh,Consumer
CUST49,Indore,Consumer
CUST50,Ahmedabad,Corporate
CUST51,Kanpur,Student
CUST52,Visakhapatnam,Small Business
CUST53,Lucknow,Small Business
CUST54,Bhopal,Student
CUST55,Vadodara,Small Business
CUST56,Hyderabad,Corporate
CUST57,Gurgaon,Consumer
CUST58,Kochi,Consumer
CUST59,Patna,Consumer
CUST60,Nagpur,Corporate
CUST61,Kanpur,Student
CUST62,Noida,Consumer
CUST63,Kanpur,Small Business
CUST64,Patna,Consumer
CUST65,Vadodara,Student
CUST66,Coimbatore,Student
CUST67,Noida,Student
CUST68,Vadodara,Student
CUST69,Noida,Small Business
CUST70,Rajkot,Corporate
CUST71,Mumbai,Corporate
CUST72,Noida,Consumer
CUST73,Chandigarh,Corporate
CUST74,Thane,Student
CUST75,Trivandrum,Corporate
CUST76,Chennai,Consumer
CUST77,Visakhapatnam,Corporate
CUST78,Indore,Small Business
CUST79,Thane,Student
CUST80,Indore,Corporate
CUST81,Indore,Student
CUST82,Trivandrum,Small Business
CUST83,Chandigarh,Consumer
CUST84,Vadodara,Student
CUST85,Gurgaon,Small Business
CUST86,Rajkot,Small Business
CUST87,Mumbai,Small Business
CUST88,Chennai,Corporate
CUST89,Nagpur,Corporate
CUST90,Kanpur,Student
CUST91,Coimbatore,Corporate
CUST92,Mysore,Corporate
CUST93,Madurai,Small Business
CUST94,Patna,Small Business
CUST95,Pune,Consumer
CUST96,Jodhpur,Student
CUST97,Mumbai,Small Business
CUST98,Chandigarh,Corporate
