order_id,customer_id,product_id,quantity,price,order_date,city,segment
1,CUST22011,1162,1,2273,2025-09-24 16:12:29,Ranchi,Student
2,CUST15097,1055,1,1198,2025-07-31 20:03:48,Mangalore,Small Business
3,CUST02555,1010,2,41967,2026-01-31 22:53:31,Surat,Small Business
4,CUST02353,1053,1,3808,2025-05-28 13:48:05,Nashik,Consumer
5,CUST13787,1069,2,4093,2025-07-23 10:54:39,Kolkata,Student
6,CUST18246,1079,1,17163,2025-08-20 10:00:13,Kochi,Consumer
7,CUST11891,1022,1,17421,2025-07-01 21:04:57,Chennai,Small Business
8,CUST11891,1124,3,24406,2025-12-01 12:24:27,Chennai,Small Business
9,CUST13009,1036,1,71372,2025-11-24 20:01:35,Mumbai,Corporate
10,CUST16447,1059,3,5773,2025-10-22 19:13:04,Nagpur,Small Business
11,CUST14309,1010,1,42190,2025-12-12 19:43:00,Madurai,Consumer
12,CUST17899,1024,1,60119,2025-12-22 21:49:51,Varanasi,Small Business
13,CUST08881,1059,1,5623,2025-03-29 18:59:06,Lucknow,Small Business
14,CUST17576,1043,1,3239,2026-01-06 18:35:40,Bhopal,Student
15,CUST02127,1063,1,7358,2025-12-22 10:41:30,Visakhapatnam,Corporate
16,CUST05442,1127,2,22219,2025-12-06 18:44:20,Vadodara,Small Business
17,CUST21907,1070,1,6027,2026-01-10 20:53:43,Bhopal,Consumer
18,CUST17789,1145,1,19166,2025-07-25 20:19:52,Kolkata,Small Business
19,CUST08228,1119,1,6911,2025-12-23 20:03:08,Kochi,Student
20,CUST20701,1002,1,49437,2025-05-27 20:44:45,Nashik,Small Business
21,CUST08325,1045,1,7348,2025-10-29 17:14:21,Vadodara,Student
22,CUST10518,1020,1,42795,2025-03-17 10:21:03,Raipur,Consumer
23,CUST02333,1073,2,1781,2025-08-13 18:27:57,Jaipur,Corporate
24,CUST20604,1049,1,6410,2025-09-02 06:18:13,Kochi,Small Business
25,CUST10252,1019,1,35456,2025-06-03 20:47:08,Varanasi,Student
26,CUST02655,1053,3,4023,2025-12-02 17:19:24,Pune,Student
27,CUST20797,1037,1,64335,2026-01-18 15:20:16,Mangalore,Small Business
28,CUST19746,1016,1,41634,2026-02-02 17:27:38,Thane,Corporate
29,CUST17585,1063,1,7041,2025-12-06 17:10:16,Mumbai,Student
30,CUST02541,1075,2,13750,2025-12-18 12:30:13,Nagpur,Consumer
31,CUST02624,1048,3,5504,2025-10-15 21:28:59,Jaipur,Small Business
32,CUST21334,1026,2,34340,2025-08-08 12:13:22,Ranchi,Small Business
33,CUST22389,1082,1,5899,2026-02-19 17:47:52,Ludhiana,Small Business
34,CUST17015,1055,1,1160,2025-03-22 19:33:55,Thane,Corporate
35,CUST22322,1157,1,1075,2026-03-01 04:12:33,Raipur,Consumer
36,CUST23496,1065,2,2961,2026-02-03 21:11:27,Mumbai,Consumer
37,CUST06832,1166,2,2069,2025-03-23 20:56:31,Vadodara,Corporate
38,CUST16261,1116,1,5014,2025-10-04 20:37:19,Noida,Consumer
39,CUST23769,1101,3,1439,2025-07-21 02:17:06,Kochi,Corporate
40,CUST18367,1104,1,3621,2025-07-28 10:57:11,Delhi,Consumer
41,CUST13716,1153,2,723,2025-09-03 17:53:04,Nashik,Consumer
42,CUST10588,1039,3,51312,2025-05-05 21:26:52,Ranchi,Corporate
43,CUST14035,1058,2,6000,2025-04-18 18:54:00,Patna,Small Business
44,CUST22611,1152,1,1539,2025-11-23 08:19:26,Raipur,Student
45,CUST19016,1007,1,56681,2026-01-18 10:17:59,Jodhpur,Student
46,CUST06956,1011,1,75886,2026-02-26 10:43:15,Varanasi,Student
47,CUST07502,1004,1,34736,2025-05-18 04:58:29,Lucknow,Consumer
48,CUST15001,1010,3,42461,2025-07-26 11:37:32,Kochi,Corporate
49,CUST21911,1040,2,2110,2025-06-29 12:48:41,Visakhapatnam,Consumer
50,CUST02196,1046,1,3897,2025-09-25 19:33:51,Noida,Small Business
51,CUST05950,1060,1,7253,2026-02-19 12:52:57,Bengaluru,Student
52,CUST17708,1122,1,19326,2025-12-26 00:54:22,Bhopal,Student
