month_start,year,month,month_short,total_revenue,total_orders,active_customers,avg_order_value,revenue_growth_pct
2025-03-01,2025,3,Mar,555638755.0,17918,10353,31010.09,
2025-04-01,2025,4,Apr,764528501.0,24619,12169,31054.41,37.59
2025-05-01,2025,5,May,776455283.0,25389,12436,30582.35,1.56
2025-06-01,2025,6,Jun,768062263.0,24921,12291,30819.88,-1.08
2025-07-01,2025,7,Jul,791687423.0,25615,12498,30907.18,3.08
2025-08-01,2025,8,Aug,786539514.0,25591,12490,30735.01,-0.65
2025-09-01,2025,9,Sep,752860380.0,24726,12297,30448.13,-4.28
2025-10-01,2025,10,Oct,780873481.0,25368,12538,30781.83,3.72
2025-11-01,2025,11,Nov,756095019.0,24683,12267,30632.22,-3.17
2025-12-01,2025,12,Dec,779889509.0,25426,12490,30672.91,3.15
2026-01-01,2026,1,Jan,779643605.0,25314,12406,30798.91,-0.03
2026-02-01,2026,2,Feb,719644234.0,23111,11966,31138.6,-7.7
2026-03-01,2026,3,Mar,228564019.0,7319,5524,31228.86,-68.24
