product_id,product_name,category,total_revenue,total_units_sold,total_orders,revenue_share_pct,cumulative_revenue_share_pct
1027,Bluetooth Speaker 3,Electronics,578858430.0,8915.0,6207,6.26,6.26
1010,Smartphone Max 2,Electronics,516200831.0,11954.0,8328,5.59,11.85
1002,Laptop Pro 1,Electronics,446309090.0,8480.0,5937,4.83,16.68
1036,Smart Watch 4,Electronics,396160235.0,5855.0,4147,4.29,20.97
1011,Smartphone Pro 2,Electronics,359121924.0,4713.0,3348,3.89,24.85
1001,Smartphone Pro 1,Electronics,320224359.0,5210.0,3662,3.47,28.32
1034,Noise Cancelling Headphones 4,Electronics,311622799.0,4470.0,3163,3.37,31.69
1023,Laptop Lite 3,Electronics,295013361.0,4062.0,2862,3.19,34.88
1013,Laptop Lite 2,Electronics,290226505.0,4800.0,3368,3.14,38.03
1020,Smartphone Max 3,Electronics,272038155.0,6591.0,4636,2.94,40.97
1015,Tablet Air 2,Electronics,239602694.0,3844.0,2690,2.59,43.56
1014,Noise Cancelling Headphones 2,Electronics,218569278.0,3816.0,2657,2.37,45.93
1026,Smart Watch 3,Electronics,190272486.0,5585.0,3921,2.06,47.99
1005,Tablet Air 1,Electronics,185283101.0,2738.0,1910,2.01,49.99
1018,Gaming Console 2,Electronics,170339910.0,2568.0,1844,1.84,51.84
1037,Bluetooth Speaker 4,Electronics,170125844.0,2608.0,1841,1.84,53.68
1012,Laptop Pro 2,Electronics,161134442.0,2748.0,1934,1.74,55.42
1016,Smart Watch 2,Electronics,154444476.0,3658.0,2571,1.67,57.09
1024,Noise Cancelling Headphones 3,Electronics,145892455.0,2353.0,1662,1.58,58.67
1039,Wireless Router 4,Electronics,141026043.0,2771.0,1976,1.53,60.2
1033,Laptop Lite 4,Electronics,136881687.0,3028.0,2122,1.48,61.68
1028,Gaming Console 3,Electronics,133078415.0,2981.0,2096,1.44,63.12
1074,Air Fryer 1,Home Appliances,126349334.0,7278.0,5143,1.37,64.49
1007,Bluetooth Speaker 1,Electronics,126305192.0,2262.0,1604,1.37,65.85
1025,Tablet Air 3,Electronics,125640165.0,2424.0,1693,1.36,67.21
