city,total_revenue,total_orders,active_customers,total_units_sold,avg_order_value,revenue_share_pct
Visakhapatnam,368246373.0,11902,1028,16948.0,30939.87,3.99
Varanasi,365327853.0,11738,1022,16725.0,31123.52,3.95
Thane,359021507.0,11674,975,16903.0,30753.94,3.89
Patna,358047708.0,11502,885,16280.0,31129.17,3.87
Ranchi,352837883.0,11302,981,16188.0,31219.07,3.82
Vadodara,350138112.0,11381,948,16269.0,30765.14,3.79
Pune,335808973.0,10761,945,15490.0,31206.11,3.63
Surat,333530458.0,10719,956,15293.0,31115.82,3.61
Mumbai,332626723.0,10961,838,15480.0,30346.38,3.6
Raipur,330430350.0,10810,905,15349.0,30567.1,3.58
Noida,327920152.0,10529,916,14998.0,31144.47,3.55
Nashik,325616966.0,10457,858,14915.0,31138.66,3.52
Mysore,303690129.0,10056,825,14316.0,30199.89,3.29
Nagpur,296826376.0,9568,820,13599.0,31022.82,3.21
Madurai,279116028.0,9265,762,13225.0,30125.85,3.02
Ludhiana,277363231.0,9188,751,13070.0,30187.55,3.0
Kochi,274717607.0,8839,719,12646.0,31080.17,2.97
Mangalore,266684723.0,8613,752,12297.0,30963.05,2.89
Indore,266318286.0,8683,658,12404.0,30671.23,2.88
Jodhpur,258708090.0,8488,679,12087.0,30479.28,2.8
Kolkata,257186417.0,8371,713,11720.0,30723.5,2.78
Kanpur,249123584.0,8122,680,11497.0,30672.69,2.7
Bhopal,241917332.0,7979,533,11049.0,30319.25,2.62
Faridabad,239691096.0,7833,650,11109.0,30600.17,2.59
Lucknow,233213591.0,7552,697,10735.0,30881.04,2.52
Jaipur,225593338.0,7447,670,10485.0,30293.18,2.44
Hyderabad,222553784.0,7275,597,10166.0,30591.59,2.41
Delhi,220125231.0,7042,584,10126.0,31258.91,2.38
Coimbatore,220061988.0,7346,600,10316.0,29956.71,2.38
Ahmedabad,203576799.0,6429,498,9132.0,31665.39,2.2
Chandigarh,201129891.0,6459,511,9085.0,31139.48,2.18
Chennai,183818699.0,5945,540,8453.0,30919.88,1.99
Bengaluru,179512708.0,5764,504,8334.0,31143.77,1.94
