weekday_number,weekday_name,order_hour,total_revenue,total_orders,active_customers
0,Monday,0,15120001.0,414,402
0,Monday,1,16036659.0,475,465
0,Monday,2,13922409.0,448,435
0,Monday,3,13493959.0,467,455
0,Monday,4,13874454.0,466,455
0,Monday,5,11473042.0,417,413
0,Monday,6,12616760.0,419,408
0,Monday,7,14072169.0,475,465
0,Monday,8,13570881.0,448,439
0,Monday,9,14425032.0,486,471
0,Monday,10,145180956.0,4624,3854
0,Monday,11,140641775.0,4568,3793
0,Monday,12,141541965.0,4560,3770
0,Monday,13,13412066.0,438,427
0,Monday,14,11941366.0,422,412
0,Monday,15,16078614.0,464,447
0,Monday,16,13633154.0,445,438
0,Monday,17,137937208.0,4454,3708
0,Monday,18,138630096.0,4584,3810
0,Monday,19,137806984.0,4532,3749
0,Monday,20,140121454.0,4588,3793
0,Monday,21,135081674.0,4443,3658
0,Monday,22,13917240.0,448,440
0,Monday,23,12765577.0,430,419
1,Tuesday,0,13718130.0,455,450
1,Tuesday,1,13423035.0,453,442
1,Tuesday,2,14746165.0,434,425
1,Tuesday,3,13606205.0,441,424
1,Tuesday,4,12623801.0,439,431
1,Tuesday,5,12869173.0,426,416
1,Tuesday,6,13361274.0,448,437
1,Tuesday,7,13673307.0,434,426
1,Tuesday,8,13649967.0,474,463
1,Tuesday,9,13036406.0,455,438
1,Tuesday,10,140943013.0,4489,3710
1,Tuesday,11,130612694.0,4305,3614
1,Tuesday,12,137855093.0,4492,3755
1,Tuesday,13,13065074.0,404,390
1,Tuesday,14,13060208.0,431,424
1,Tuesday,15,14017881.0,477,466
1,Tuesday,16,13808867.0,467,461
1,Tuesday,17,141047362.0,4462,3733
1,Tuesday,18,139094550.0,4414,3693
1,Tuesday,19,138943123.0,4467,3713
1,Tuesday,20,138980131.0,4414,3674
1,Tuesday,21,137636730.0,4470,3784
1,Tuesday,22,12010355.0,421,412
1,Tuesday,23,14236543.0,482,469
2,Wednesday,0,13921853.0,457,445
2,Wednesday,1,15004815.0,451,437
2,Wednesday,2,13861480.0,468,460
2,Wednesday,3,14446445.0,499,479
2,Wednesday,4,12941897.0,432,419
